kind,size,size_kb,root,depth,path,nested_under,rollup_parent
cache-like,3.5 MiB,3580,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.apple.iTunes/CommerceRequestCache,/Users/yaniv/Library/Caches/com.apple.iTunes,false
support/container,3.4 MiB,3480,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Comet/CertificateRevocation,/Users/yaniv/Library/Application Support/Comet,false
cache-like,3.2 MiB,3324,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.iCloudNotificationAgent,,false
cache-like,3.2 MiB,3312,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.managedappdistributionagent,,false
cache-like,3.2 MiB,3312,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.bookdatastored,,false
cache-like,3.2 MiB,3264,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.akd,,false
cache-like,3.2 MiB,3236,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.microsoft.autoupdate.fba,,false
support/container,3.1 MiB,3176,/Users/yaniv/Library/Group Containers,1,/Users/yaniv/Library/Group Containers/group.com.apple.siri.sirisuggestions,,false
cache-like,3.1 MiB,3172,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/familycircled,,false
cache-like,3.1 MiB,3164,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.microsoft.OneDriveStandaloneUpdater,,false
cache-like,3.1 MiB,3160,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.microsoft.edgemac,,false
cache-like,3.1 MiB,3124,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.openai.atlas,,false
cache-like,3.1 MiB,3124,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.microsoft.autoupdate.fba,,false
cache-like,3.1 MiB,3124,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.apple.appstoreagent,,false
cache-like,3.1 MiB,3124,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.apple.itunescloudd,,false
cache-like,3.0 MiB,3112,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.apple.storekitagent,,false
cache-like,3.0 MiB,3112,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.adobe.ARMDCHelper,,false
cache-like,3.0 MiB,3112,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.microsoft.SharePoint-mac,,false
cache-like,3.0 MiB,3112,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.microsoft.EdgeUpdater,,false
cache-like,3.0 MiB,3112,/Users/yaniv/Library/HTTPStorages,1,/Users/yaniv/Library/HTTPStorages/com.apple.amsondevicestoraged,,false
