kind,size,size_kb,path
support/container,4.1 MiB,4152,/Users/yaniv/Library/Application Support/com.openai.chat
cache-like,4.0 MiB,4136,/Users/yaniv/Library/HTTPStorages/com.apple.tipsd
support/container,4.0 MiB,4096,/Users/yaniv/Library/Application Support/Comet/BrowserMetrics
support/container,4.0 MiB,4088,/Users/yaniv/Library/Application Support/com.openai.chat/conversations-v3-7fb09b21-c400-4a68-a7f3-1f94a035df42
cache-like,4.0 MiB,4052,/Users/yaniv/Library/Caches/com.apple.itunescloudd/fsCachedData
cache-like,3.8 MiB,3932,/Users/yaniv/Library/Caches/com.apple.Spotlight
cache-like,3.8 MiB,3844,/Users/yaniv/Library/Caches/com.apple.amsengagementd/fsCachedData
cache-like,3.7 MiB,3784,/Users/yaniv/Library/Caches/statsig-cache
cache-like,3.7 MiB,3784,/Users/yaniv/Library/Caches/statsig-cache/client-qs8mEvZTRkamsK5AqwsBaPfGX3CwPOs4it0lVlPGKcu
support/container,3.6 MiB,3712,/Users/yaniv/Library/Application Support/LM Studio
support/container,3.6 MiB,3692,/Users/yaniv/Library/Group Containers/2BBY89MBSN.dev.warp
cache-like,3.6 MiB,3680,/Users/yaniv/Library/Caches/com.apple.amsaccountsd
cache-like,3.5 MiB,3580,/Users/yaniv/Library/Caches/com.apple.iTunes
cache-like,3.5 MiB,3580,/Users/yaniv/Library/Caches/com.apple.iTunes/CommerceRequestCache
support/container,3.4 MiB,3480,/Users/yaniv/Library/Application Support/Comet/CertificateRevocation
cache-like,3.2 MiB,3324,/Users/yaniv/Library/Caches/com.apple.iCloudNotificationAgent
cache-like,3.2 MiB,3312,/Users/yaniv/Library/Caches/com.apple.managedappdistributionagent
cache-like,3.2 MiB,3312,/Users/yaniv/Library/Caches/com.apple.bookdatastored
cache-like,3.2 MiB,3264,/Users/yaniv/Library/Caches/com.apple.akd
cache-like,3.2 MiB,3236,/Users/yaniv/Library/Caches/com.microsoft.autoupdate.fba
support/container,3.1 MiB,3176,/Users/yaniv/Library/Group Containers/group.com.apple.siri.sirisuggestions
cache-like,3.1 MiB,3172,/Users/yaniv/Library/Caches/familycircled
cache-like,3.1 MiB,3164,/Users/yaniv/Library/Caches/com.microsoft.OneDriveStandaloneUpdater
cache-like,3.1 MiB,3160,/Users/yaniv/Library/Caches/com.microsoft.edgemac
cache-like,3.1 MiB,3124,/Users/yaniv/Library/HTTPStorages/com.openai.chat
cache-like,3.1 MiB,3124,/Users/yaniv/Library/HTTPStorages/com.openai.atlas
cache-like,3.1 MiB,3124,/Users/yaniv/Library/HTTPStorages/com.microsoft.autoupdate.fba
cache-like,3.1 MiB,3124,/Users/yaniv/Library/HTTPStorages/com.apple.appstoreagent
cache-like,3.1 MiB,3124,/Users/yaniv/Library/HTTPStorages/com.apple.itunescloudd
cache-like,3.0 MiB,3112,/Users/yaniv/Library/HTTPStorages/com.apple.storekitagent
cache-like,3.0 MiB,3112,/Users/yaniv/Library/HTTPStorages/com.adobe.ARMDCHelper
cache-like,3.0 MiB,3112,/Users/yaniv/Library/HTTPStorages/com.microsoft.SharePoint-mac
cache-like,3.0 MiB,3112,/Users/yaniv/Library/HTTPStorages/com.microsoft.EdgeUpdater
cache-like,3.0 MiB,3112,/Users/yaniv/Library/HTTPStorages/com.apple.amsondevicestoraged
support/container,2.8 MiB,2900,/Users/yaniv/Library/Application Support/Cursor/logs
cache-like,2.8 MiB,2824,/Users/yaniv/Library/Logs/Sonos
cache-like,2.7 MiB,2776,/Users/yaniv/Library/Caches/com.apple.AMPLibraryAgent
support/container,2.7 MiB,2720,/Users/yaniv/Library/Containers/com.microsoft.rdc.macos
cache-like,2.6 MiB,2668,/Users/yaniv/Library/Caches/com.vmware.hub.mac/fsCachedData
