kind,size,size_kb,root,depth,path,nested_under,rollup_parent
support/container,4.0 KiB,4,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/vscode-sqltools,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.dp.PrivateFederatedLearning.DPMLRuntimePluginClassB,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.settings-intents.TransferResetIntents,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.generativeassistanttools.settingsextension.GenerativeAssistantSettingsExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Network-Settings.extension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.SonicKit.diagnostics,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Mouse-Settings.extension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.tgondeviceinferenceproviderservice,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.journal,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.settings-intents.WallpaperIntents,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.PDFImporter,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.priml.PFLMLHostPlugins.SiriMASPFLCK,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.AuthKit.AKDiagnosticExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.DiagnosticExtensions.HomeEnergyDiagnosticExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.ControlCenter-Settings.extension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.priml.PRIMLCKPreemptivePing,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.eventMetaDataExtractor.eventMetaDataExtractorPlugin,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Stickers.UserGenerated.MessagesExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.DiagnosticExtensions.PICSDiagnosticExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.settings.SecurityPrefQADirector.SecurityPrivacyIntents,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.calendar.EventKitUIRemoteUIExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.settings-intents.mouse,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Home.HomeAppMessagesExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.DiagnosticExtensions.CoreSensingDiagnosticExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.googlecode.iterm2.iTermFileProvider,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.DiskSpaceDiagnostics.diagnosticextension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.AvatarUI.AvatarPosterExtension,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.siri.SiriSignals.MusicAppSelectionPFLPlugin,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.weather.WeatherAppIntents,,false
support/container,4.0 KiB,4,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.BluetoothSettings,,false
